Creo rete: 0x55f8cd82c260
Neuroni primo strato 0
Strati computazionali 1
----Addestra N1----
----Test N1----
Terminato in 7849 iterazioni
(0.182777,0.731488)->0
(0.392829,0.827657)->0
(0.822631,0.448226)->1
(0.017519,0.059581)->0
(0.266954,0.159654)->1
(0.540658,0.932281)->0
(0.751741,0.968357)->0
(0.041449,0.481747)->0
(0.261240,0.368396)->0
(0.637511,0.950937)->0
----Addestra N2----
Libero: 0x55f8cd82c260
Creo rete: 0x55f8cd82c260
Neuroni primo strato 30
Strati computazionali 3
----Addestra N3----
----Test N3----
Terminato in 135500 iterazioni
0.234324 3.958850 0
1.485283 0.455122 1
1.319005 2.960949 0
-1.175715 0.712428 1
0.054531 4.561349 0
-0.455514 4.219792 0
-0.964417 3.564762 0
0.431898 1.392603 1
0.466106 1.114004 1
-0.177032 0.915403 1
-1.220813 3.025805 0
-0.168486 0.034908 1
0.186120 3.756258 1
-1.429025 2.652411 0
-0.921931 4.818192 0
-0.024364 4.140491 0
1.021634 1.826148 1
1.676491 2.925799 0
1.829677 0.625969 1
0.910581 2.355261 1
-1.850146 0.568834 0
-0.739958 1.481797 1
1.306876 4.614925 0
0.299520 2.216227 1
-1.416856 0.153110 1
0.505305 1.702913 1
0.543132 0.421023 1
-0.609743 0.911565 1
1.341825 2.451540 0
0.851181 0.524867 1
-0.184214 1.033521 1
1.732287 1.046774 0
0.287735 4.260971 0
1.178058 2.646766 0
1.909552 2.610799 0
-1.998379 0.074258 1
0.543706 1.577079 1
-0.755155 2.313228 1
-1.046396 4.430455 0
1.623564 1.920935 0
1.666853 2.661086 0
0.899078 2.762481 1
0.465687 0.361669 1
0.939237 2.259390 1
0.250567 2.238022 1
0.227406 0.082941 1
0.617235 2.449616 1
-1.096228 1.131212 1
-0.631530 0.102287 1
1.022382 1.597528 1
0.170469 3.780005 1
-0.662571 0.892719 1
-1.714333 3.227842 0
0.564758 1.549089 1
0.126638 2.735403 1
0.776019 2.241863 1
-1.682809 2.093871 0
-1.996525 3.478598 0
-0.035568 3.678389 1
-1.409609 0.268749 1
-1.266871 3.522246 0
-1.718648 4.187954 0
-1.222511 1.481404 1
-1.744667 2.682448 0
-0.733047 4.097145 0
1.423981 4.296778 0
0.301720 0.951762 1
-1.848402 3.234233 0
1.343683 3.395445 0
1.826658 1.837901 0
-1.095321 3.253345 0
1.263811 1.527338 1
-1.722227 4.084107 0
-1.995251 2.802756 0
0.209997 0.743924 1
0.457203 3.678907 0
1.412936 3.423194 0
0.293489 0.238031 1
1.923678 3.186028 0
0.336383 1.488290 1
-0.173462 2.200455 1
-1.371945 0.160323 1
0.521773 0.974566 1
0.715645 2.331820 1
1.496009 3.177878 0
1.335777 0.500860 1
-0.855021 3.249484 0
-0.377442 1.778439 1
-0.133127 2.034133 1
1.664956 0.096087 1
0.222446 2.652699 1
1.019995 2.044228 1
-1.139286 1.641855 1
-0.174193 0.980491 1
1.862307 0.202738 1
-0.024975 2.111056 1
-0.077446 3.253849 1
-0.182897 0.555410 1
1.382732 0.665935 1
0.309784 3.598426 1
1.075050 2.056950 1
1.279429 0.275037 1
-1.754853 1.127484 0
-0.357219 2.640025 1
0.529294 1.634671 1
0.188889 0.939675 1
1.429896 1.511105 1
0.387122 0.363263 1
0.522368 0.266161 1
-0.924997 2.980843 0
-1.624881 3.812535 0
-1.926480 2.872092 0
-0.346893 2.363278 1
0.742001 1.294798 1
0.423371 1.314731 1
1.914580 1.873027 0
0.697345 3.992511 0
-0.281550 3.678116 1
-1.904004 4.201539 0
-0.945487 3.281612 0
-1.331032 4.054253 0
1.377029 0.123580 1
-1.547714 2.205189 0
-1.610526 3.718318 0
-0.022920 1.830597 1
-0.640671 2.940248 1
-1.485495 1.791061 0
-1.350128 2.709515 0
1.323472 4.239842 0
1.203451 2.183553 1
-1.556341 3.897538 0
1.245264 3.926255 0
0.312039 1.204643 1
0.083497 3.010044 1
-1.675055 3.922512 0
-0.966676 1.242391 1
0.381412 0.512942 1
-0.907223 3.542123 0
0.174504 1.852815 1
-0.191647 0.189480 1
0.946729 3.959602 0
0.503782 4.326543 0
-1.399469 3.942068 0
-0.371153 4.905003 0
0.545528 1.040372 1
-0.329156 3.736483 0
1.950328 1.145135 0
0.130190 2.827959 1
-0.120178 0.267109 1
-1.329598 2.755959 0
1.351697 2.129658 0
1.198680 2.166386 1
0.114080 0.364322 1
-1.433193 0.360729 1
-0.226291 2.968949 1
-1.559833 0.900548 1
-0.457159 3.679937 0
-1.818327 2.679215 0
0.097604 2.263149 1
0.067374 0.803915 1
0.642817 4.672773 0
1.632319 3.241431 0
-1.345674 2.203136 0
-1.144488 3.167686 0
-0.023804 1.907392 1
-1.261084 1.659866 1
1.229640 4.921995 0
1.061002 1.679650 1
-1.770946 4.534760 0
-0.367697 2.503454 1
0.002968 2.590588 1
0.723202 4.432261 0
-0.983580 3.631093 0
-0.310819 3.892530 0
-1.284606 4.695693 0
1.757156 4.197764 0
1.494773 4.236843 0
-0.048644 0.186374 1
-0.848016 3.508584 0
0.683248 3.910225 0
-1.667219 4.277705 0
-1.543927 4.453027 0
1.359760 4.396343 0
-1.093859 4.486017 0
1.144883 3.173056 0
-0.408423 1.434813 1
-1.389085 0.393473 1
-1.306340 2.034169 1
1.219653 2.978551 0
-1.258641 4.918809 0
0.139395 0.623144 1
1.293258 2.042710 1
1.887990 1.555767 0
-0.216733 1.299967 1
-1.948519 0.583144 0
-1.831846 0.480328 0
1.888679 0.780283 0
1.946684 4.060548 0
-1.858699 1.066031 0
0.837252 4.107730 0
1.391269 0.536036 1
-1.565965 0.002730 1
-1.256393 1.409618 1
-0.370481 4.954075 0
1.510535 2.963597 0
1.898307 2.062412 0
0.869393 3.989456 0
1.284098 3.446728 0
-1.563821 1.334207 0
1.797356 0.609574 1
-0.466119 4.956887 0
-1.128079 1.778200 1
-1.410264 1.023256 1
-1.329002 0.913797 1
-0.328570 4.385314 0
-1.982779 1.328374 0
1.937080 0.564070 1
-0.935117 0.850859 1
-0.421050 3.368003 1
-1.356053 1.361856 1
-0.934720 0.677818 1
0.739415 4.918341 0
1.733819 2.529391 0
0.692055 0.212497 1
1.090878 3.111764 0
-1.342343 0.780949 1
0.454921 1.911973 1
0.047319 3.805821 1
0.348184 3.397897 1
1.775694 0.024517 1
0.226568 4.741144 0
-0.917688 2.704560 1
-1.755829 2.683994 0
0.844335 2.278902 1
-1.158402 4.360353 0
0.912607 2.383597 1
-1.969463 2.065027 0
-0.158450 4.705445 0
1.675535 0.667006 1
1.934354 3.458017 0
1.023016 0.740014 1
1.391172 1.847421 1
0.121590 1.798114 1
-1.477407 0.587217 1
-1.843191 0.372859 0
-1.510613 2.979221 0
-1.908797 1.964624 0
-1.452975 0.419218 1
1.718895 4.239200 0
0.158496 0.700616 1
0.879643 1.338879 1
0.467370 3.637724 0
0.723125 0.386150 1
0.674535 2.998325 1
-1.157475 3.261112 0
-0.834927 4.831926 0
1.200900 0.695307 1
-0.656523 1.653113 1
-0.005263 2.332588 1
-0.207737 2.689432 1
0.164358 2.852063 1
-1.465077 2.819450 0
1.853350 1.352435 0
0.590934 4.465306 0
-1.526692 0.936788 1
-1.867263 4.191189 0
-0.179467 3.250134 1
0.263130 0.679573 1
0.909027 1.172082 1
0.942318 4.689440 0
1.546555 0.134239 1
1.617093 3.434320 0
-1.336364 1.200712 1
-1.930054 3.322966 0
0.826640 2.327761 1
-1.190081 1.238748 1
-1.856141 1.681052 0
1.246558 4.996511 0
0.426789 2.296866 1
1.569454 3.625122 0
0.586923 4.627738 0
0.253048 0.509321 1
0.302298 0.645223 1
-1.048885 1.514156 1
-0.546155 4.866791 0
-1.037123 1.250500 1
-1.999176 0.724962 0
1.747855 0.830575 1
-0.459461 4.772251 0
1.322833 0.458975 1
-0.319990 0.165940 1
-0.641822 2.279837 1
-0.522407 0.755920 1
-0.178921 4.880478 0
0.442229 1.738165 1
0.804480 1.286441 1
-0.907277 1.321910 1
-0.563391 4.243775 0
